"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WSF2","WSF5"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-06-26","4.70","0.00","0.0","0.0","69","81","63","10.1","14.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-06-27","10.51","1.12","0.0","0.0","70","76","63","29.1","36.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-06-28","11.41","0.09","0.0","0.0","63","67","56","25.9","34.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-06-29","4.47","0.21","0.0","0.0","63","76","54","13.0","17.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-06-30","7.61","0.17","0.0","0.0","67","77","62","25.9","34.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-07-01","6.26","0.00","0.0","0.0","66","75","61","14.1","19.9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-07-02","4.47","0.00","0.0","0.0","68","78","60","15.0","19.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-07-03","3.80","0.58","0.0","0.0","69","79","56","14.1","19.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-07-04","6.71","0.00","0.0","0.0","71","80","64","15.0","18.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-07-05","3.80","0.00","0.0","0.0","70","82","57","12.1","14.1"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-07-06","4.03","0.33","0.0","0.0","75","83","68","13.0","15.0"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","2015-07-07","8.95","1.44","0.0","0.0","75","85","67","25.9","51.0"
